batter,team,pa,OUT,BB,1B,2B,3B,HR
"Abernathy, Brandon",DEC_BEA,32,0.5397500000000001,0.15625,0.2493125,0.0520625,0.0021875,4.375e-4
"Alwan, Lawson",SPR_LUC,30,0.3590666666666667,0.4000000000000001,0.1562,0.05280000000000001,0.005466666666666667,0.026466666666666673
"Awbrey, Gavin",CLI_LUM1,42,0.6288795518207283,0.09523809523809523,0.16225490196078432,0.06568627450980391,0.007303921568627453,0.040637254901960775
"Baftiri, Ximi",ILL_VAL3,44,0.5931504702194357,0.22727272727272727,0.13189655172413792,0.041802507836990584,0.0056896551724137925,1.880877742946708e-4
"Baratta, Filippo",NOR_COR,33,0.7282424242424242,0.15151515151515152,0.09824242424242423,0.013454545454545455,0.005696969696969696,0.002848484848484848
"Bemis, Alex",CHI_PAI,44,0.5420086580086582,0.31818181818181823,0.07542857142857144,0.04485714285714285,0.005619047619047619,0.013904761904761906
"Blanchette, Trey",SPR_LUC,32,0.7226875,0.09375,0.1546875,0.027875000000000004,9.999999999999998e-4,0
"Bleakney, Carter",NOR_COR,33,0.5607272727272727,0.060606060606060615,0.2773333333333334,0.07975757575757578,0.0023030303030303033,0.019272727272727275
"Bonczkowski, Nicholas",O'F_HOO,43,0.5931627906976744,0.06976744186046512,0.2006046511627907,0.07186046511627907,0.016744186046511626,0.04786046511627907
"Bruner, Brayden",KOK_CRE,41,0.6272032520325204,0.21951219512195122,0.09509485094850949,0.032791327913279135,0.005127371273712737,0.020271002710027103
"Budacki, Brock",JOH_MIL,38,0.5817844611528822,0.18421052631578946,0.18487719298245614,0.03043609022556391,0.01869172932330827,0
"Burkhardt, Ethan",SPR_LUC,32,0.4335,0.3125,0.189,0.033625,0.00325,0.028124999999999994
"Clough, Jude",CHI_PAI,39,0.593948717948718,0.20512820512820512,0.12066666666666667,0.06625641025641024,0.0026666666666666674,0.011333333333333334
"Connors, John",O'F_HOO,40,0.5371,0.2,0.1719,0.04655,0.003999999999999999,0.04045
"Costello, TJ",THR_THR1,32,0.6151875,0.1875,0.1489375,0.01675,0.023687499999999997,0.0079375
"Coty, Dylan",NOR_COR,32,0.7121052631578948,0.125,0.11138157894736843,0.030789473684210526,1.9736842105263157e-4,0.020526315789473684
"Crider, Caleb",DEC_BEA,31,0.5320046082949309,0.25806451612903225,0.1987327188940092,0.007811059907834102,0.0033870967741935487,0
"Curl, John",KOK_CRE,38,0.49058684210526315,0.3157894736842105,0.14689736842105264,0.04267105263157895,0.0023,0.001755263157894737
"Czech, Ean",QUI_DOG,44,0.5389090909090909,0.045454545454545456,0.2883636363636364,0.07431818181818181,0.033409090909090916,0.01954545454545454
"DeWees, Dane",KOK_CRE,35,0.7121428571428571,0.11428571428571425,0.11404761904761904,0.05297619047619047,0.006369047619047617,1.7857142857142846e-4
"Diaz, Wally",TER_HAU,43,0.5549799518845228,0.2093023255813953,0.18202085004009622,0.020593424218123497,0.002935044105854048,0.030168404170008014
